"REC_TX_DT_YEAR","DON_HOSPITAL_STATE","CAN_HOSPITAL_STATE","N_TX","PCT_TX_DON_STATE","PCT_TX_CAN_STATE"
2018,"AK","WA",15,0.789473684210526,0.106382978723404
2018,"AK","OR",3,0.157894736842105,0.0365853658536585
2018,"AK","AZ",1,0.0526315789473684,0.00357142857142857
2018,"AL","AL",85,0.68,0.714285714285714
2018,"AL","FL",17,0.136,0.0328820116054159
2018,"AL","GA",8,0.064,0.0305343511450382
2018,"AL","LA",8,0.064,0.032520325203252
2018,"AL","AR",2,0.016,0.0540540540540541
2018,"AL","TN",2,0.016,0.00904977375565611
2018,"AL","MD",1,0.008,0.005
2018,"AL","NY",1,0.008,0.00265957446808511
2018,"AL","PR",1,0.008,0.03125
2018,"AR","AR",27,0.54,0.72972972972973
2018,"AR","GA",8,0.16,0.0305343511450382
2018,"AR","FL",7,0.14,0.0135396518375242
2018,"AR","LA",5,0.1,0.0203252032520325
2018,"AR","MO",2,0.04,0.0119760479041916
2018,"AR","AL",1,0.02,0.00840336134453781
2018,"AZ","AZ",112,0.651162790697674,0.4
2018,"AZ","CA",56,0.325581395348837,0.0713375796178344
2018,"AZ","CO",1,0.00581395348837209,0.00934579439252336
2018,"AZ","MN",1,0.00581395348837209,0.00694444444444444
2018,"AZ","OH",1,0.00581395348837209,0.00264550264550265
2018,"AZ","UT",1,0.00581395348837209,0.0131578947368421
2018,"CA","CA",566,0.831130690161527,0.721019108280255
2018,"CA","AZ",99,0.145374449339207,0.353571428571429
2018,"CA","UT",15,0.0220264317180617,0.197368421052632
2018,"CA","MN",1,0.00146842878120411,0.00694444444444444
2018,"CO","CO",61,0.717647058823529,0.570093457943925
2018,"CO","MO",8,0.0941176470588235,0.0479041916167665
2018,"CO","AZ",4,0.0470588235294118,0.0142857142857143
2018,"CO","KS",4,0.0470588235294118,0.0506329113924051
2018,"CO","CA",3,0.0352941176470588,0.00382165605095541
2018,"CO","NE",3,0.0352941176470588,0.0441176470588235
2018,"CO","MN",1,0.0117647058823529,0.00694444444444444
2018,"CO","UT",1,0.0117647058823529,0.0131578947368421
2018,"CT","MA",33,0.611111111111111,0.140425531914894
2018,"CT","CT",20,0.37037037037037,0.357142857142857
2018,"CT","OH",1,0.0185185185185185,0.00264550264550265
2018,"DC","DC",24,0.75,0.260869565217391
2018,"DC","MD",5,0.15625,0.025
2018,"DC","PA",2,0.0625,0.00428265524625268
2018,"DC","NY",1,0.03125,0.00265957446808511
2018,"DE","PA",30,0.652173913043478,0.0642398286937901
2018,"DE","MD",9,0.195652173913043,0.045
2018,"DE","NY",2,0.0434782608695652,0.00531914893617021
2018,"DE","AL",1,0.0217391304347826,0.00840336134453781
2018,"DE","IN",1,0.0217391304347826,0.00689655172413793
2018,"DE","MA",1,0.0217391304347826,0.00425531914893617
2018,"DE","NJ",1,0.0217391304347826,0.02
2018,"DE","TX",1,0.0217391304347826,0.00143061516452074
2018,"FL","FL",392,0.734082397003745,0.758220502901354
2018,"FL","LA",53,0.099250936329588,0.215447154471545
2018,"FL","GA",51,0.0955056179775281,0.194656488549618
2018,"FL","AL",11,0.0205992509363296,0.092436974789916
2018,"FL","NY",7,0.0131086142322097,0.0186170212765957
2018,"FL","AR",5,0.00936329588014981,0.135135135135135
2018,"FL","MS",5,0.00936329588014981,0.108695652173913
2018,"FL","OH",2,0.00374531835205993,0.00529100529100529
2018,"FL","VA",2,0.00374531835205993,0.0121951219512195
2018,"FL","CA",1,0.00187265917602996,0.00127388535031847
2018,"FL","MA",1,0.00187265917602996,0.00425531914893617
2018,"FL","MD",1,0.00187265917602996,0.005
2018,"FL","MN",1,0.00187265917602996,0.00694444444444444
2018,"FL","MO",1,0.00187265917602996,0.00598802395209581
2018,"FL","PR",1,0.00187265917602996,0.03125
2018,"GA","GA",174,0.746781115879828,0.66412213740458
2018,"GA","FL",27,0.11587982832618,0.0522243713733075
2018,"GA","LA",11,0.0472103004291846,0.0447154471544715
2018,"GA","AL",8,0.0343347639484979,0.0672268907563025
2018,"GA","NY",5,0.0214592274678112,0.0132978723404255
2018,"GA","MS",3,0.0128755364806867,0.0652173913043478
2018,"GA","AR",1,0.00429184549356223,0.027027027027027
2018,"GA","IN",1,0.00429184549356223,0.00689655172413793
2018,"GA","MD",1,0.00429184549356223,0.005
2018,"GA","MN",1,0.00429184549356223,0.00694444444444444
2018,"GA","WI",1,0.00429184549356223,0.00609756097560976
2018,"HI","HI",11,0.578947368421053,1
2018,"HI","CA",3,0.157894736842105,0.00382165605095541
2018,"HI","WA",3,0.157894736842105,0.0212765957446809
2018,"HI","AZ",2,0.105263157894737,0.00714285714285714
2018,"IA","IA",23,0.425925925925926,0.793103448275862
2018,"IA","CO",11,0.203703703703704,0.102803738317757
2018,"IA","MO",9,0.166666666666667,0.0538922155688623
2018,"IA","NE",7,0.12962962962963,0.102941176470588
2018,"IA","IL",1,0.0185185185185185,0.00374531835205993
2018,"IA","KS",1,0.0185185185185185,0.0126582278481013
2018,"IA","MN",1,0.0185185185185185,0.00694444444444444
2018,"IA","NY",1,0.0185185185185185,0.00265957446808511
2018,"ID","OR",14,0.466666666666667,0.170731707317073
2018,"ID","UT",7,0.233333333333333,0.0921052631578947
2018,"ID","WA",6,0.2,0.0425531914893617
2018,"ID","CA",2,0.0666666666666667,0.00254777070063694
2018,"ID","AZ",1,0.0333333333333333,0.00357142857142857
2018,"IL","IL",222,0.716129032258065,0.831460674157303
2018,"IL","WI",37,0.119354838709677,0.225609756097561
