"YEAR","STATE","N_INTERNAL_LIVERS","N_EXPORTED_LIVERS","N_IMPORTED_LIVERS","MAJORITY_EXPORTER","MAJORITY_IMPORTER"
2020,"HI",15,3,1,FALSE,FALSE
2020,"IA",17,49,15,TRUE,FALSE
2020,"ID",0,29,0,TRUE,FALSE
2020,"IL",167,142,177,FALSE,TRUE
2020,"IN",57,143,66,TRUE,TRUE
2020,"KS",15,88,30,TRUE,TRUE
2020,"KY",14,97,56,TRUE,TRUE
2020,"LA",96,81,100,FALSE,TRUE
2020,"MA",66,37,193,FALSE,TRUE
2020,"MD",57,73,121,TRUE,TRUE
2020,"ME",0,24,0,TRUE,FALSE
2020,"MI",84,139,91,TRUE,TRUE
2020,"MN",43,30,145,FALSE,TRUE
2020,"MO",102,158,78,TRUE,FALSE
2020,"MS",13,52,24,TRUE,TRUE
2020,"MT",0,25,0,TRUE,FALSE
2020,"NC",87,175,117,TRUE,TRUE
2020,"ND",0,23,0,TRUE,FALSE
2020,"NE",24,22,77,FALSE,TRUE
2020,"NH",0,13,0,TRUE,FALSE
2020,"NJ",11,141,33,TRUE,TRUE
2020,"NM",0,43,0,TRUE,FALSE
2020,"NV",0,144,0,TRUE,FALSE
2020,"NY",144,119,368,FALSE,TRUE
2020,"OH",186,170,264,FALSE,TRUE
2020,"OK",28,70,57,TRUE,TRUE
2020,"OR",31,51,57,TRUE,TRUE
2020,"PA",171,243,276,TRUE,TRUE
2020,"PR",28,57,1,TRUE,FALSE
2020,"RI",0,11,0,TRUE,FALSE
2020,"SC",23,109,33,TRUE,TRUE
2020,"SD",1,11,13,TRUE,TRUE
2020,"TN",101,185,142,TRUE,TRUE
2020,"TX",590,127,174,FALSE,FALSE
2020,"UT",46,30,65,FALSE,TRUE
2020,"VA",55,104,133,TRUE,TRUE
2020,"VT",0,8,0,TRUE,FALSE
2020,"WA",84,65,53,FALSE,FALSE
2020,"WI",75,104,107,TRUE,TRUE
2020,"WV",0,80,0,TRUE,FALSE
2020,"WY",0,5,0,TRUE,FALSE
2021,"AK",0,19,0,TRUE,FALSE
2021,"AL",31,137,41,TRUE,TRUE
2021,"AR",16,58,29,TRUE,TRUE
2021,"AZ",104,98,207,FALSE,TRUE
2021,"CA",638,73,267,FALSE,FALSE
2021,"CO",61,61,73,FALSE,TRUE
2021,"CT",6,64,45,TRUE,TRUE
2021,"DC",9,17,100,TRUE,TRUE
2021,"DE",0,57,0,TRUE,FALSE
2021,"FL",533,129,184,FALSE,FALSE
2021,"GA",114,137,161,TRUE,TRUE
2021,"HI",16,3,1,FALSE,FALSE
2021,"IA",12,55,6,TRUE,FALSE
2021,"ID",0,42,0,TRUE,FALSE
2021,"IL",126,162,195,TRUE,TRUE
2021,"IN",49,164,100,TRUE,TRUE
2021,"KS",13,88,37,TRUE,TRUE
2021,"KY",19,103,74,TRUE,TRUE
2021,"LA",85,106,89,TRUE,TRUE
2021,"MA",48,54,202,TRUE,TRUE
2021,"MD",54,84,156,TRUE,TRUE
2021,"ME",0,30,0,TRUE,FALSE
2021,"MI",78,160,127,TRUE,TRUE
2021,"MN",65,25,147,FALSE,TRUE
2021,"MO",100,148,105,TRUE,TRUE
2021,"MS",24,55,24,TRUE,FALSE
2021,"MT",0,25,0,TRUE,FALSE
2021,"NC",59,183,155,TRUE,TRUE
2021,"ND",0,18,0,TRUE,FALSE
2021,"NE",29,23,64,FALSE,TRUE
2021,"NH",0,22,0,TRUE,FALSE
2021,"NJ",15,170,44,TRUE,TRUE
2021,"NM",0,48,0,TRUE,FALSE
2021,"NV",0,138,0,TRUE,FALSE
2021,"NY",160,167,394,TRUE,TRUE
2021,"OH",175,208,302,TRUE,TRUE
2021,"OK",41,58,84,TRUE,TRUE
2021,"OR",25,61,58,TRUE,TRUE
2021,"PA",119,283,292,TRUE,TRUE
2021,"PR",30,53,3,TRUE,FALSE
