"REC_TX_DT_YEAR","p10","p25","p50","p75","p90"
2018,1.43116596146541,11.5431594633342,83.6515336438628,238.822558101066,470.843549973196
2019,1.6417835981239,13.3984172586283,85.0023961605776,238.38907366978,466.850455992342
2020,5.68217916237493,46.3252090085749,154.369314244619,336.349815042753,503.870578798277
2021,6.71910830084531,50.9066656092225,162.862668207945,347.758215837512,508.04933144634
