"YEAR","STATE","N_TX","PCT_TX"
2018,"AL",119,0.0154806816703525
2018,"AR",37,0.00481332119162222
2018,"AZ",281,0.0365552231039417
2018,"CA",816,0.10615324573956
2018,"CO",119,0.0154806816703525
2018,"CT",60,0.00780538571614414
2018,"DC",92,0.0119682580980877
2018,"FL",517,0.0672564069207753
2018,"GA",265,0.0344737869129699
2018,"HI",11,0.00143098738129309
2018,"IA",29,0.00377260309613633
2018,"IL",279,0.0362950435800702
2018,"IN",145,0.0188630154806817
2018,"KS",79,0.0102770911929231
2018,"KY",83,0.0107974502406661
2018,"LA",247,0.0321321711981267
2018,"MA",263,0.0342136073890985
2018,"MD",227,0.029530375959412
2018,"MI",203,0.0264082216729543
2018,"MN",165,0.0214648107193964
2018,"MO",167,0.0217249902432679
2018,"MS",46,0.00598412904904384
2018,"NC",198,0.0257577728632757
2018,"NE",70,0.0091062833355015
2018,"NJ",50,0.00650448809678678
2018,"NY",418,0.0543775204891375
2018,"OH",397,0.0516456354884871
2018,"OK",52,0.00676466762065825
2018,"OR",82,0.0106673604787303
2018,"PA",535,0.0695980226356186
2018,"PR",32,0.00416287238194354
2018,"SC",74,0.00962664238324444
2018,"SD",8,0.00104071809548589
2018,"TN",224,0.0291401066736048
2018,"TX",738,0.0960062443085729
2018,"UT",85,0.0110576297645375
2018,"VA",169,0.0219851697671393
2018,"WA",141,0.0183426564329387
2018,"WI",164,0.0213347209574606
2019,"AL",128,0.0153385260635111
2019,"AR",43,0.00515278609946076
2019,"AZ",326,0.0390653085680048
2019,"CA",903,0.108208508088676
2019,"CO",148,0.0177351707609347
2019,"CT",48,0.00575194727381666
2019,"DC",96,0.0115038945476333
2019,"FL",625,0.0748951467944877
2019,"GA",269,0.0322348711803475
2019,"HI",13,0.00155781905332534
2019,"IA",32,0.00383463151587777
2019,"IL",304,0.0364289994008388
2019,"IN",144,0.01725584182145
2019,"KS",80,0.00958657878969443
2019,"KY",67,0.00802875973636908
2019,"LA",239,0.0286399041342121
2019,"MA",271,0.0324745356500899
2019,"MD",207,0.0248052726183343
2019,"MI",223,0.0267225883762732
2019,"MN",183,0.021929298981426
2019,"MO",177,0.0212103055721989
2019,"MS",51,0.0061114439784302
2019,"NC",245,0.0293588975434392
2019,"NE",89,0.0106650689035351
2019,"NJ",56,0.0067106051527861
2019,"NY",457,0.0547633313361294
2019,"OH",451,0.0540443379269023
2019,"OK",56,0.0067106051527861
2019,"OR",76,0.00910724985020971
2019,"PA",585,0.0701018573996405
2019,"PR",42,0.00503295386458958
2019,"SC",75,0.00898741761533853
2019,"SD",12,0.00143798681845416
2019,"TN",230,0.0275614140203715
2019,"TX",819,0.0981426003594967
2019,"UT",87,0.0104254044337927
2019,"VA",190,0.0227681246255243
2019,"WA",147,0.0176153385260635
2019,"WI",151,0.0180946674655482
2020,"AL",97,0.0115434963703439
2020,"AR",33,0.00392716886826134
2020,"AZ",297,0.035344519814352
2020,"CA",959,0.114125907414019
2020,"CO",121,0.0143996191836249
2020,"CT",48,0.00571224562656194
2020,"DC",105,0.0124955373081042
2020,"FL",625,0.0743781982625253
2020,"GA",260,0.0309413304772105
2020,"HI",16,0.00190408187552065
2020,"IA",32,0.00380816375104129
2020,"IL",361,0.0429608473164346
2020,"IN",127,0.0151136498869451
2020,"KS",45,0.00535523027490182
2020,"KY",70,0.00833035820540283
2020,"LA",196,0.0233250029751279
2020,"MA",277,0.0329644174699512
2020,"MD",191,0.0227299773890277
2020,"MI",181,0.0215399262168273
2020,"MN",199,0.0236820183267881
2020,"MO",181,0.0215399262168273
2020,"MS",37,0.0044031893371415
2020,"NC",207,0.0246340592645484
2020,"NE",105,0.0124955373081042
2020,"NJ",44,0.00523622515768178
2020,"NY",552,0.0656908247054623
2020,"OH",478,0.0568844460311793
2020,"OK",85,0.0101154349637034
2020,"OR",88,0.0104724503153636
2020,"PA",553,0.0658098298226824
2020,"PR",29,0.00345114839938117
2020,"SC",56,0.00666428656432227
2020,"SD",14,0.00166607164108057
2020,"TN",252,0.0299892895394502
2020,"TX",824,0.0980602165893133
2020,"UT",122,0.0145186243008449
2020,"VA",211,0.0251100797334285
2020,"WA",143,0.0170177317624658
2020,"WI",182,0.0216589313340474
2021,"AL",72,0.00824647806665903
2021,"AR",45,0.00515404879166189
2021,"AZ",311,0.0356202038712633
2021,"CA",959,0.109838506471195
2021,"CO",145,0.0166074905509105
2021,"CT",53,0.00607032413240179
2021,"DC",112,0.0128278547703585
2021,"FL",721,0.0825793150841828
2021,"GA",276,0.0316114992555263
2021,"HI",17,0.00194708509907227
2021,"IA",19,0.00217615393425724
2021,"IL",340,0.0389417019814454
2021,"IN",161,0.0184400412323903
2021,"KS",50,0.00572672087962433
2021,"KY",93,0.0106517008361012
2021,"LA",174,0.0199289886610927
2021,"MA",273,0.0312678960027488
2021,"MD",231,0.0264574504638644
2021,"MI",214,0.0245103653647921
2021,"MN",226,0.025884778375902
2021,"MO",205,0.0234795556064597
2021,"MS",48,0.00549765204443935
2021,"NC",220,0.025197571870347
2021,"NE",94,0.0107662352536937
2021,"NJ",59,0.00675753063795671
2021,"NY",602,0.0689497193906769
2021,"OH",513,0.0587561562249456
2021,"OK",125,0.0143168021990608
2021,"OR",83,0.00950635666017638
2021,"PA",505,0.0578398808842057
2021,"PR",33,0.00377963578055206
2021,"SC",71,0.00813194364906654
2021,"SD",6,0.000687206505554919
2021,"TN",220,0.025197571870347
2021,"TX",780,0.0893368457221395
2021,"UT",137,0.0156912152101707
2021,"VA",244,0.0279463978925667
